201002-000224_bem_fb0_elicit_42,bushe bane ili nail ku cipatala tamwalemonako imyendele ya uyu tauni gelo natatamuna 
201002-000224_bem_fb0_elicit_43,robin e mutanshi pa kwasuka ati mune kwena witila ifwe tuli fimpatanya ifyaikele pakati ka nshila 
201002-000224_bem_fb0_elicit_44,tulekweba icishinka ukuti imisango ya mwina mobe pa nshita wali ku cipatala ifwe tayatusekesha nakalya 
201002-000224_bem_fb0_elicit_45,yama bulya bushiku kuti twati tupitile ku biaolo no munandi canda uyu twamona palya bacindila jaivi 
201002-000224_bem_fb0_elicit_46,mulamu kuti nga bamuselebula kuli ulya wine canga walopwele bushiku bumo ulya umundebele 
201002-000224_bem_fb0_elicit_47,kabili teti utunganye umuntu uuli pa bukulu kuti atemwa ukucinshiwa ulya musango 
201002-000224_bem_fb0_elicit_48,wena ngefyo wishibe ifwe twalikalipe sana no kufwaya ukulopola ulya canga lelo twatinine ukusebanya mulamu 
201002-000224_bem_fb0_elicit_49,mulumu wena ati ashitumona fye aongoloka bayakumanina mu citenge cimbi na kapanga wine ulya 
200916-225410_bem_197_elicit_0,tamufwile ukukanda umuntu imiku ibili pacilubo cimo cine 
200916-225410_bem_197_elicit_1,ukuletelela abantu pamulandu wakuyafwaya ukupusukilako 
200916-225410_bem_197_elicit_2,ngawafusha ifyakwikataikata kuti waluba uko wafwila 
200916-225410_bem_197_elicit_3,cimo cine nomuntu wampali 
200916-225410_bem_197_elicit_4,takuli uwingakusunga nga banoko 
200916-225410_bem_197_elicit_5,lesa taba namuncishanya pakulambula abo cilingile 
200916-225410_bem_197_elicit_6,ukufwila nangu ukukandilwa pa mulandu untu ushicitile 
200916-225410_bem_197_elicit_7,ifyo wasosa tafiweme lomba ubwelelo 
200916-225410_bem_197_elicit_8,umuntu uwaba namano yacifyalilwa 
200916-225410_bem_197_elicit_9,umuntu uwabufi untu ushingacetekela 
200916-225410_bem_197_elicit_10,mwilapuulula kutulubo utunono kuti twamiletelela 
200916-225410_bem_197_elicit_11,nacansha nshishibe namwakwalwila 
200916-225410_bem_197_elicit_12,ngawatemwa ukwibukisha ifyakale kuti wailetelela 
200916-225410_bem_197_elicit_13,ukubombapo fimo kwawamapo ukucila ukwikalafye 
200916-225410_bem_197_elicit_14,ukwikala uwacetekelapo fimo pamo ngobupyani 
200916-225410_bem_197_elicit_15,ubunang ani tabwawama kuti bwalenga wacula 
200916-225410_bem_197_elicit_16,umuntu uwatumpa asalapuka lilya camubipila 
200916-225410_bem_197_elicit_17,umuntu pakukwata amaka yakubomba kano nalya 
200916-225410_bem_197_elicit_18,umuntu pakukwata amaka yakubomba kano nalya 
200916-225410_bem_197_elicit_19,ngolefwaya icintu cikakokole ufwile wasala icakosa nangu cakuti nacikosa umutengo 
200916-225410_bem_197_elicit_20,ifimoneka ifyayanguka mukumoneka efyayafya mukubomba 
200916-225410_bem_197_elicit_21,ifimoneka ifyayanguka mukumoneka efyayafya mukubomba 
200916-225410_bem_197_elicit_22,nikwisa mwaya 
200916-225410_bem_197_elicit_23,takuli uwingakusunga nga banoko 
200916-225410_bem_197_elicit_24,ngolefwaya ukuti usendeko icakaniko ufwile wakosa nokubombela pamo nabanobe 
201008-155010_bem_40e_elicit_0,apafumine ukwinika ishina lya mulenga 
201008-155010_bem_40e_elicit_1,pa nsaka kamwana nsemba kaipusha abakalamba akati 
201008-155010_bem_40e_elicit_2,bushe batini ishina lyandi ilya mulenga lyafumine kuli uyu wine mulenga wa mpanga 
201008-155010_bem_40e_elicit_3,ba mwango bamwasuka abati cinecine waipusha bwino 
201008-155010_bem_40e_elicit_4,amashina yamo yafuma kuli uyu wine mukandi 
201008-155010_bem_40e_elicit_5,ngefi acisa lelo mutile engile mwa mama umwaciba banoko mwaice ne fumo 
201008-155010_bem_40e_elicit_6,umwana akafyalwa bakalamwita mulenga 
201008-155010_bem_40e_elicit_7,pantu mulenga acilike ifumo lilya mu yanda 
201008-155010_bem_40e_elicit_8,pamo pene ngo muntu umo mu lupwa iwabo nga afwa asha umo uwa mu lupwa ali ne fumo 
201008-155010_bem_40e_elicit_9,umwana akafyalwa muli lilye fumo akalaitwa ishina lya mutoto ilya ulya muntu afwile 
201008-155010_bem_40e_elicit_10,pantu ashile ifumo lya ulya mwana 
201008-155010_bem_40e_elicit_11,nga ali ni mulenga no mwana afyalwa akalaitwa mulenga 
201008-155010_bem_40e_elicit_12,abantu batila umupashi wa ulya muntu afwile e wabwelela muli uyu mwana afyalwa 
201008-155010_bem_40e_elicit_13,limbi umwana nga afyalwa nomba aisatampa ukulila alalilisha nganshi 
201008-155010_bem_40e_elicit_14,abafyashi bakwe kuti baya kuli banakulwiba no kusosa ukuti akana te pa kulila 
201008-155010_bem_40e_elicit_15,nakulu kuti abeba ukuti alelila ishina e pa kuya ku nanga iyebuke shina 
201008-155010_bem_40e_elicit_16,kano fye abafyalwa babili ubushiku bumo abasendame fume limo bena tababuka mashina yabo 
201008-155010_bem_40e_elicit_17,babeta fye apo pene ukuti ni bampundu 
201008-155010_bem_40e_elicit_18,no wakonka bampundu nao tamubwelela mupashi no kubukwa tabukwa bamwita fye chola 
201008-155010_bem_40e_elicit_19,nalubila aya ma shina baleinika muno nshiku baleti bupe njelenjeli awe ye nshishibe 
200921-214144_bem_798_elicit_0,ukusembululwa nangu ukuputulwa kwa banakashi 
200921-214144_bem_798_elicit_1,bushe ukusembululwa nangu ukuputulwa kwa banakashi nicinshi 
200921-214144_bem_798_elicit_2,ukusembululwa nangu ukuputulwa kwa banakashi kuputula kumufulo nangu ukwalula kwa fyamfwalo ifya banakashi apabula umulandu nangu umo uukumine ku bumi 
200921-214144_bem_798_elicit_3,uyu mulimo walikwata amashina ayengi nganshi pamo nga ukuputulu ukusembululwa kwa banakashi elyo nokusembululwa kwa ntambi ukwa banakashi 
200921-214144_bem_798_elicit_4,ici cintu cilakalipa sana ku bumi bwa banakashi elyo tacakwata na mulimo iyo 
200921-214144_bem_798_elicit_5,ubwafwilisho no kutungililwa eko fyaba mu calo ca australia 
200921-214144_bem_798_elicit_6,ngacakuti ilyashi limo pali ifi fintu lyalimicitikilapo kuti mwasanga ukutangatwa ukwabula ukulipila pamo nokutungililwa mu calo ca australia 
200921-214144_bem_798_elicit_7,bashingánga ba katangata pamo nababomfi bambi pamo naba kafundisha kuti bamyafwilisha 
200921-214144_bem_798_elicit_8,nga mulepekanya ukukwata umwana 
200921-214144_bem_798_elicit_9,kuti mwafwaya ukulanda naba shingánga 
200921-214144_bem_798_elicit_10,bakatangata nangu ababomfi babumi bambi pakuti mukwateko ubwafwilisho nabumbi panshita ilyo muli pa bukulu elyo nalintu mwakwata umwana 
200921-214144_bem_798_elicit_11,ukusembululwa nangu ukuputulwa kwa banakashi mulandu uwakakata sana mu calo ca australia 
200921-214144_bem_798_elicit_12,ukusembululwa nangu ukuputulwa kwa banakashi takwasuminishiwa mu calo australia 
200921-214144_bem_798_elicit_13,ici kuti cabimbwamo ukutuma umuntu kunse ya calo ukuya sembululwa nangu ukupekanishisha ukutungilila nangu ukukoselesha umuntu ukuti asembululwe 
200921-214144_bem_798_elicit_14,umuntu uwacita iyi milandu kuti akakwa abe mwanakashi nangu mwaume 
200921-214144_bem_798_elicit_15,ngacakuti ilyashi limo pali ifi fintu lyalimicitikilapo mulekoseleshiwa ukufwaya ubwafwilisho elyo imwe tamwakakandwe namafunde ya calo ca australia 
200921-214144_bem_798_elicit_16,kwalibako utubungwe natumbi elyo nefintu ifingamwafwilishako 
200921-214144_bem_798_elicit_17,kuti mwasanga ilyashi lyonse ilyapa kusembululwa nangu ukuputulwa kwa banakashi pe buula lyapa intaneti ilya ciputulwa icishibisha abantu pa kusembululwa 
200921-214144_bem_798_elicit_18,1800respect kabungwe kamu calo ca australia akabombela mukupanda amano mu milandu ya kulungana nabantu ku maka elyo no bunkalwe no mutitikisha mu mayanda 
200921-214144_bem_798_elicit_19,aka kabungwe kalapelako ilyashi lya bumpanda mano ilya lutu kabili ilya nkama pali lamya elyo napa intaneti 
200921-214144_bem_798_elicit_20,ba mpandamano bakomfwa kuli fintu mulelanda ukwasuka amepusho yenu elyo nokumituma kumbi uko mwingasanga ubwafwilisho mu ncende yenu 
200921-214144_bem_798_elicit_21,ngacakuti imwe nangu umuntu umbi untu mwaishiba alisendwako kunse ya calo pakuti bayemusembulula 
200921-214144_bem_798_elicit_22,nangu limbi muletontonkanya ukuti uyo muntu kuti aba mubwafya bwa kusendwa kunse ya calo pakuti baye musembulula 
200921-214144_bem_798_elicit_23,tumeni lamya pa nambala iishisalwa ubushiku nakasuba iya bwafwilisho bwamukampampa pa 1300 555 135 nga mwikala mu australia 
200921-214144_bem_798_elicit_24,nangu pa 61 2 6261 3304 ku bali kufyalo fimbi 
200921-214144_bem_798_elicit_25,nangu lanshanyeni ne ofeshi lya calo ca australia ilili mupepi naimwe pa dfat gov au 
200921-214144_bem_798_elicit_26,bushe mulekabila uwakumipilibwilako icitundu 
200921-214144_bem_798_elicit_27,tumineni akabungwe ka kupilibula no kwalula ifitundu pa 131450 
200921-214144_bem_798_elicit_28,bakapilibula wa fitundu ukufuma ku tis kuti bamyafwilishako ukupilibula ifitundu lelo tekuti babombele kuli bumpanda mano 
200921-214144_bem_798_elicit_29,ukutuma kwa lamya konse kwa lutu kabili ukwa nkama 
201008-154234_bem_40e_elicit_0,mulenga ifyo engila mu nanda ya muntu 
201008-154234_bem_40e_elicit_1,mulenga mutandashi musuma ilyo uyu mulumendo atandalila abantu taya mu kubacusha 
201008-154234_bem_40e_elicit_2,eco tutila mutandashi musuma kanshi mwalaumfwa ifyo engila mu mayanda ya bantu 
201008-154234_bem_40e_elicit_3,abaice batatu bali mu tulo mu mushi wa canakampasa 
201008-154234_bem_40e_elicit_4,abaice abo balicilile pa ciimo ca mabuta mputi bali ni bakalume bakwikalila amakombo pa nsaka 
201008-154234_bem_40e_elicit_5,chilufya ali e mwine we tanda emo ababiye baleisa mu kusendama chilufya alota inkalamo ilemutamfya 
201008-154234_bem_40e_elicit_6,epakulapundila ku tolo ati amasense ee kuno kulya ici owe owe ee 
201008-154234_bem_40e_elicit_7,kasonde na mwamba babukila fye mu kupunda kwakwa chilufya 
201008-154234_bem_40e_elicit_8,aba bakalume bati babuke basunka no munabo uwalelota elyo balakosha pa mulilo pakuti baleonta 
201008-154234_bem_40e_elicit_9,baikala balalanda ne lyashi 
201008-154234_bem_40e_elicit_10,kuti cilya fye ilyashi lyafukila bamona ing anda yabuuta tutu ku ilampi lilya ilyabumi ilyakwa mulenga 
201008-154234_bem_40e_elicit_11,bamona no mwine alulubele pakati ka yanda uwabuta tuutu umutali 
201008-154234_bem_40e_elicit_12,afwele ne nsalu iyabuuta tuutu 
201008-154234_bem_40e_elicit_13,icishele kuli balya bana kuwa panshi ubukupeme bafimba ne minwe pa menso ico bali no mwenso wa kutiina ukulolesha uyu muntu aisaiminina mu yanda 
201008-154234_bem_40e_elicit_14,no uyu muntu aiminine fye filya fine pa nshita ikalamba 
201008-154234_bem_40e_elicit_15,abaice baleti bacebukila ku mwinshi bamona iciibi icaisalwa 
201008-154234_bem_40e_elicit_16,bapunamina mu mutenge bamona insonta muntu bashikakile 
201008-154234_bem_40e_elicit_17,abaice amano yapela ico bashishibe uko engilile 
201008-154234_bem_40e_elicit_18,ukumwishiba nako tabamwishibe nangu ukumwelenganya ku muntu umo uo bamona lyoo 
201008-154234_bem_40e_elicit_19,pa kuya ulya mulumendo bamona fye uko aimye lampi baluba noko aya 
201008-154234_bem_40e_elicit_20,ulya muntu we lampi kuti kalekale baluba nefyo afikile mwa nakulu kapembwa 
201008-154234_bem_40e_elicit_21,nakulu kapembwa e mama na ine wine na ine wine emo nali fwe twishikulu twakwe emo twalelala 
201008-154234_bem_40e_elicit_22,cali ni mu mwaka 1930 
201008-154234_bem_40e_elicit_23,na bamayo mwaice abafumine ku katanga bali ne fumo lya bubeli baishile ku kupaapa ku mushi nabo twali nabo mu nanda 
201008-154234_bem_40e_elicit_24,bonse twali mu tulo uwabalilepo ukubuuka ni kapambwe 
201008-154234_bem_40e_elicit_25,akoshapo umulilo alaonta 
201008-154234_bem_40e_elicit_26,ati ekale fye panono amona iciibi caishimpa na kukati ka ganda 
201008-154234_bem_40e_elicit_27,kapambwe afwampukila napo tulele 
201008-154234_bem_40e_elicit_28,amona umuntu umutali ne cililampi icayakisha alulubala pakati ka yanda 
201008-154234_bem_40e_elicit_29,kapambwe alatushina ifimputwa ukwabula ukusosa alasunka mama pamo na ba mayo mwaice 
200918-130145_bem_d31_elicit_0,pa bushiku bwakonkelepo ali no mulimo ku ncito uwakulanshanya mu kwipusha na shimakwebo umo 
200918-130145_bem_d31_elicit_1,yohane atemenwe ukulanshanya na bantu mu kwipushanya 
200918-130145_bem_d31_elicit_2,ilyo afikile aingile mu ng anda no kutila tata naisa 
200918-130145_bem_d31_elicit_3,yohane atile ninshi mu kupelekesha ico amwene ukuti bawishi bekele fye tondolo mu cipuna 
200918-130145_bem_d31_elicit_4,tata bushe namulwala 
200918-130145_bem_d31_elicit_5,sembe atile iyo nshilwele 
200918-130145_bem_d31_elicit_6,nomba cinshi cicitike mulemoneka ngo mulwele 
200918-130145_bem_d31_elicit_7,wishi atile ikala panshi nalakweba fyonse pakuti umfwe 
200918-130145_bem_d31_elicit_8,efyo yohane aikeleko pakuti omfwe kuli wishi 
200918-130145_bem_d31_elicit_9,sembe aikele bwino pa cipuna no kubwesha icefu elyo atendeke ukulondolola mwi shiwi ilyanaka no kutompoka 
200918-130145_bem_d31_elicit_10,ilyo nacilapekanya ukuya kukulanshanya kwa badikone mu kwaluka kwa kasuba ilelo line nacipokelela shimapepo ukufuma ku mwalo 
200918-130145_bem_d31_elicit_11,yohane mu kucilinganya atile bushe ni ba kiambi abali no kwisa uyu mweshi uuleisa 
200918-130145_bem_d31_elicit_12,wishi atile ubu butandashi bwaciba ubwakupumikisha kabili ubwaibela 
200918-130145_bem_d31_elicit_13,pantu uyu shimapepo acisa na namayo pamo no mukashana uwa myaka 14 
200918-130145_bem_d31_elicit_14,uyu makashana aciba ne fumo kabili aleeba abantu bonse mu mushi ukuti paulo ewamupele ili fumo 
200918-130145_bem_d31_elicit_15,ati shani yohane aima na pacipuna 
200918-130145_bem_d31_elicit_16,bushe alipena mwimuleka ukutwalilila ukulanda ifyo sembe aikele fye tondolo 
200918-130145_bem_d31_elicit_17,yohane aipwishe wishi ati tata bushe mulesuminisha ayo mashiwi 
200918-130145_bem_d31_elicit_18,wishi atile ikalisha mu cipuna 
200918-130145_bem_d31_elicit_19,lelo yohane aikele fye pampela ya cipuna kwati alefwaya ukwima 
200918-130145_bem_d31_elicit_20,efyo wishi atwalilile ukulondolola na ine wine nshacisumina ilyo bakiambi bacinjeba e calenga nacituma umuntu ukuyaita paulo 
200918-130145_bem_d31_elicit_21,bakiambi na ine twacingila mu cilonganino umwaciba badikone 
200918-130145_bem_d31_elicit_22,pali iyi nshita twaceba uyu namayo no mukashana ukushala panse 
200918-130145_bem_d31_elicit_23,yohane mu kupeshiwa mano atile twalilileni tata 
200918-130145_bem_d31_elicit_24,pakubala paulo umukalamba obe acikana lelo ilyo twacingisha umukashana na banyina mu cilonganino elyo acisumina 
200918-130145_bem_d31_elicit_25,sembe alekele ukulondolola kabili afimbile pa menso 
200918-130145_bem_d31_elicit_26,kumfwa yohane ena elyo aikele bwino pa cipuna 
200918-130145_bem_d31_elicit_27,yohane atile acisumina kanshi e kutila cishinka 
200918-130145_bem_d31_elicit_28,wishi apukwinye fye umutwe elyo bonse babili baikele tondolo pa nshita iinono 
200918-130145_bem_d31_elicit_29,elyo yohane aipwishe wishi ati bushe cinshi calengele paulo ukucita icintu ca musango uyu 
200918-130145_bem_d31_elicit_30,wishi amwebele ukuti ilyo thomas nyoka aipwishe paulo ili lipusho 
200918-130145_bem_d31_elicit_31,paulo atile ciwa ewantukile elyo nabembwike 
200918-130145_bem_d31_elicit_32,mu kuilishanya sembe atile abembuka 
200918-130145_bem_d31_elicit_33,umwana wandi uo natambike kuli lesa ilyo afyelwe 
200918-130145_bem_d31_elicit_34,umwana uwasambilila icebo cakwa lesa kabila wa mbila nsuma 
200918-130145_bem_d31_elicit_35,umwana wandi uwaupa kabili uwakwata bana mutanda abembuka 
200918-130145_bem_d31_elicit_36,efyo sembe aiketwe cikonko icakuti yohane takwete icakusosa pakuti amukoseleshe 
200918-130145_bem_d31_elicit_37,tata tata tulemupepelako 
200918-130145_bem_d31_elicit_38,sembe atwalilile ukuilishanya ukumupepela ukumupepela ine nalemupepela ne lintu talafyalwa 
200918-130145_bem_d31_elicit_39,apo nabembuka amapepo tayafute ificitike 
200918-130145_bem_d31_elicit_40,mu kutontonkanya ukuti nalimo bawishi kuti baumfwako bwino nga cakuti nalimo bawishi kuti bashala beka 
200918-130145_bem_d31_elicit_41,yohane alibwelelemo ku ng anda ku mwakwe 
200918-130145_bem_d31_elicit_42,ilyo afikile asangile amapepala yali fye ayasalangana pe tebulo nga fintu ayashile 
200918-130145_bem_d31_elicit_43,aikele pa cipuna no kwesha ukupekanya umulimo akwete ku ncito mu bushiku ubwakonkapo 
200918-130145_bem_d31_elicit_44,alifililwe pantu amatontonkanyo yakwe yalebwelela ku fintu ifyacitike ku mukalamba wakwe paulo 
200918-130145_bem_d31_elicit_45,mu ng anda mwali tondolo pantu ni pali ubu bwine bushiku elyo maria 
200918-130145_bem_d31_elicit_46,umukashi wakwe pamo na bana babo babili baile mu kutandalila abafyashi abaleikala ku mushi uwali ku kapinda ka kuso 
200918-130145_bem_d31_elicit_47,pa mulandu wa fintu fyacitike camoneke kwati papita umwaka 
200918-130145_bem_d31_elicit_48,yohane aliikoseleshe ukubomba 
200918-130145_bem_d31_elicit_49,cilya fye atendeka ukubomba kwaishile umwaice wakwe dabidi 
200916-221043_bem_197_elicit_1,limo limo ngabakweba ifishinka kuti fyakukalipa lelo ninshi nafikushinina 
200916-221043_bem_197_elicit_2,umukashi wacibili nangu engatemwikwa shani temwine wacupo 
200916-221043_bem_197_elicit_3,imisango iisuma ilaleta ifilambu kubaikwata 
200916-221043_bem_197_elicit_4,mufwile ukukutika kubenda ukunoku pantu ebengamiletelako ilyashi 
200916-221043_bem_197_elicit_5,nshakwata wakwenda nao lelo akasuba ngakawa nshifikile abantu baleishiba ukuti ninsanswa 
200916-221043_bem_197_elicit_6,nga ulefwaya ukuyaikala mumushi umo nagula ukuupa umukashana umo ufwile wafwailisha nokumona nga kuti cayana 
200916-221043_bem_197_elicit_7,wicetekela mubucingo bwa munobe naiwe uicingililefye palobe 
200916-221043_bem_197_elicit_8,ukuicushafye pantu ico wacendela taucisangile 
200916-221043_bem_197_elicit_9,twilatendwa bwangu pantu nafilya fine ifyakosa ngatwalwisha kuti fyayanguka 
200916-221043_bem_197_elicit_10,nga ulefwaya ukupwisha ukutalikana konse ufwile watalalafye tondolo 
200916-221043_bem_197_elicit_11,ilingiline ulubulu lutumbuka mukumana nokutalikishanya 
200916-221043_bem_197_elicit_12,ifintu ifingi ficitikila fye kwishuko 
200916-221043_bem_197_elicit_13,ulefwaya umweneshe kwati ndimpofu uushamwene ifyacitike 
200916-221043_bem_197_elicit_15,ngabakutuma ukutwala imbila taufwile kuilishanya pantu amashiwi tayafina nge cipe 
200916-221043_bem_197_elicit_16,ngatawishibe ifyo babomba umulimo cawama waipusha pantu kuti cakwansha 
200916-221043_bem_197_elicit_17,ngawabomfya ubucenjeshi ku mubiyo ube uwaipekanya pantu naiwe bakakucenjesha 
200916-221043_bem_197_elicit_18,alishiba ukusenda bwino no kupingula imilandu 
200916-221043_bem_197_elicit_19,ilyo ulefwaya ukuupa umwanakshi kutala wafwailisha nokumfwikisha ifyo alelanda umo filelola 
200916-221043_bem_197_elicit_20,ngapali umulimo untu waishibisha ufwile ukuubomba bwino sana mpaka waupwisha 
200916-221043_bem_197_elicit_21,wikaleka ifisuma fikakuletelele ubucingo ebufwile ukubalilapo elyo amaliila panuma 
200916-221043_bem_197_elicit_22,ngawafisa umulandu kuli ndubulwila obe ninani akakwafwako ukulubulula 
200916-221043_bem_197_elicit_23,umuntu nga aba uwashuka nangu mwingamucingilisha ishuko lyena likamukonka 
200916-221043_bem_197_elicit_24,kwisano lya mfumu fingi fyabako tekuti ukumemo ukufisabulula 
201001-231632_bem_fb0_elicit_0,bushe ulya cilumendo bali nankwe tye ulya joni aumine icabipisha nganshi 
201001-231632_bem_fb0_elicit_1,robin wena ico amano yakwe yali nga yakwa joni apo pene aeba paul ati 
201001-231632_bem_fb0_elicit_2,boi kanje ncaye kapanga kanshi ne mpumo sha ntanshi tashiteseshe 
201001-231632_bem_fb0_elicit_3,kabili joni nga afuma mu cipatala tuli no kumweba pantu teti tuleke umunensu balemusebanya ku canakashi ca mano ya bukapenta 
201001-231632_bem_fb0_elicit_4,paul mwandi panoesonde palilalwa we wefumo niwe ulesebulwa filya ne mpukushilo shileshala na pa mbililibili 
201001-231632_bem_fb0_elicit_5,nacine abalumando bayaiminina mupepi bali nga baletamba jaivi 
201001-231632_bem_fb0_elicit_6,kuti janet ati ndoleshe mu mbali ifi amona fye amenso yane yalemutambo 
201001-231632_bem_fb0_elicit_7,apo pene janet alatotosha umulumendo ati ala natuleke bamo abanjishiba balentamba 
201001-231632_bem_fb0_elicit_8,bati baleke ukucinda janet na cilumendo wakwe balunila na mu mabumba ya bantu 
201001-231632_bem_fb0_elicit_9,robin alaeba paul ati ulya mukashana ulemona nga tatumubwelepo ilyo twingafisha umulandu kuli joni kuti akaana akoola na pa lulimi 
201001-231632_bem_fb0_elicit_10,enda tumufwaye tumukalipile nakuba abwelele na ku mushi 
201001-231632_bem_fb0_elicit_11,balamufwaya kuti ngefi babatulila mu citenge bali na cilumendo wakwe wine balenwa ubwalwa 
201001-231632_bem_fb0_elicit_12,robin alembula janet ati mulamu tala isa kuno tumfwe 
201001-231632_bem_fb0_elicit_13,ukwabula no kwasuka janet aima akonka robin panse 
201001-231632_bem_fb0_elicit_14,robin ati kwena mulamu ifwe twasunguka sana pa ku kusanga kuno kantini 
201001-231632_bem_fb0_elicit_15,icantanshi balikulesha ukwisa kuno 
201001-231632_bem_fb0_elicit_16,iwe taulingile kwisa kuno ilyo umubiyo alecula mu cipatala 
201001-231632_bem_fb0_elicit_17,ica butatu we muntu we uli pa bukulu niwe bacilasunsha umusango ulya pali jaivi 
201001-231632_bem_fb0_elicit_18,bushe fyonse ifi wacita fya mano 
201001-231632_bem_fb0_elicit_19,janet akwata insoni sana pa kumfwa ukuti kanshi na babiye kwa joni balishiba ukuti aba pa bukulu 
201001-231632_bem_fb0_elicit_20,elyo ico ifyakusosa ifinefine ashakwete atampa ukumaula ku fimpusa ati 
